seniorcitizen,tenure,monthlycharges,gender_male,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber optic,contract_one year,contract_two year,churn
0,38,24,0,0,1,0,1,1,0,0
0,56,100,0,1,1,0,0,0,0,0
0,1,91,1,0,1,0,0,1,0,1
0,1,50,1,1,1,0,0,1,0,0
0,1,45,0,0,1,1,1,0,0,1
0,65,95,1,1,1,0,0,1,0,0
0,72,70,1,0,1,1,0,0,1,0
0,4,50,0,1,1,1,1,0,0,0
0,29,94,1,0,1,0,0,0,0,0
0,1,91,1,0,1,1,1,0,1,1
0,21,28,0,0,0,0,1,0,0,0
1,69,111,1,0,1,1,0,0,1,0
0,4,92,0,0,1,0,1,1,0,1
0,1,60,1,0,1,1,1,0,1,1
0,30,64,1,0,1,0,0,0,0,0
0,23,20,1,0,1,0,0,0,1,0
0,1,69,0,0,1,0,0,0,0,1
0,63,91,1,1,1,1,1,1,0,0
1,6,45,1,0,1,0,0,0,0,0
0,64,66,1,0,1,0,0,0,0,0
0,67,90,1,1,1,0,0,0,0,0
0,1,20,1,1,1,0,0,0,0,0
0,54,105,1,0,1,0,0,0,0,1
0,60,100,0,0,1,0,1,1,0,0
0,12,78,0,1,1,1,1,0,0,1
0,12,50,0,0,0,1,1,0,1,0
0,66,80,1,1,1,1,1,0,0,0
0,15,25,1,1,1,1,0,0,1,0
0,25,100,0,0,1,0,0,1,0,1
0,4,21,1,0,1,0,0,0,0,0
0,9,74,1,0,1,1,1,1,0,0
0,19,70,1,0,1,0,0,0,0,0
0,3,20,1,1,1,1,1,1,0,0
1,3,75,0,0,1,0,0,0,0,0
0,56,45,0,0,0,1,1,0,0,0
1,66,108,0,0,1,0,1,0,0,0
0,5,26,1,1,1,1,1,0,0,1
0,3,20,0,0,1,1,0,0,1,0
0,2,20,0,0,1,1,1,0,0,0
0,30,81,0,1,1,0,0,0,1,0
0,7,98,1,0,1,1,0,0,0,1
0,45,25,0,1,1,1,1,0,0,0
0,58,45,0,0,0,0,0,0,0,0
0,17,103,1,0,1,0,0,1,0,0
0,4,39,1,1,0,1,0,1,0,0
1,64,109,0,0,1,1,0,0,1,0
0,58,105,0,1,1,0,1,0,0,0
0,64,111,0,0,1,0,0,0,0,0
0,11,86,1,1,1,0,1,0,1,0
1,8,92,0,0,1,1,1,0,0,1
1,51,94,1,0,1,0,0,0,0,0
0,10,20,1,0,1,0,0,0,0,0
0,25,105,0,0,1,0,0,0,0,1
0,51,83,1,0,1,1,0,1,0,0
1,9,84,0,0,1,1,0,0,1,1
1,44,110,0,0,1,0,0,1,0,0
0,8,58,0,0,1,0,1,0,0,0
0,8,20,1,0,1,0,0,0,1,0
0,72,91,0,0,1,1,0,0,1,0
0,6,21,0,0,1,0,0,0,0,0
0,63,20,1,0,1,0,0,1,0,0
0,26,81,0,0,1,0,0,0,0,0
0,35,60,1,0,1,0,0,0,1,0
0,3,54,0,0,1,0,1,0,0,0
0,24,58,0,1,0,0,0,0,0,0
0,24,78,0,1,1,0,0,1,0,0
0,3,30,0,1,0,0,0,1,0,0
0,5,104,1,0,1,0,1,0,0,1
0,22,95,1,0,1,1,1,0,0,0
0,29,79,0,0,1,0,0,0,0,1
0,67,25,0,0,1,1,1,0,0,0
1,30,102,1,0,1,0,0,1,0,0
0,5,96,1,0,1,1,1,1,0,1
0,70,25,0,1,1,0,0,0,0,0
0,3,77,1,0,1,1,1,0,0,1
0,45,87,0,0,1,0,0,0,0,1
0,48,24,0,0,1,0,1,0,1,0
0,9,75,0,0,1,0,1,0,0,1
1,3,70,0,0,1,1,0,1,0,1
1,45,99,1,0,1,1,1,0,0,0
0,1,20,1,0,1,1,0,0,1,0
0,1,20,1,0,1,1,1,0,0,1
0,48,105,0,0,1,1,1,0,0,0
0,1,25,0,0,0,0,0,0,0,0
0,72,20,1,1,1,0,0,1,0,0
0,6,90,0,0,1,0,0,0,0,1
0,64,100,1,0,1,0,0,1,0,0
0,58,109,0,0,1,1,0,0,0,1
0,1,74,0,0,1,1,1,0,0,1
0,1,44,0,0,1,1,1,0,0,0
1,3,77,1,0,1,0,0,0,0,1
1,5,76,0,0,1,0,0,0,1,1
1,1,45,0,0,1,0,1,0,0,1
0,9,96,1,0,1,1,0,0,1,0
0,12,94,0,0,1,1,1,0,0,1
0,7,45,1,0,1,1,1,1,0,0
0,49,39,1,1,0,0,0,0,0,0
0,67,100,0,1,1,0,0,0,0,0
1,27,105,1,0,1,1,1,0,0,0
0,16,70,1,0,1,0,1,0,0,0
0,2,49,0,0,1,0,0,0,0,1
0,24,20,1,0,1,1,1,0,0,0
0,9,65,0,1,1,0,0,0,0,1
0,50,70,0,1,1,0,1,0,0,0
0,64,54,0,1,1,0,1,1,0,0
0,5,105,1,0,1,0,0,0,0,0
0,26,56,0,0,1,0,1,0,0,0
1,18,85,0,0,1,1,1,0,1,0
0,43,26,1,0,1,0,0,0,0,0
0,12,77,0,1,1,0,0,0,0,0
0,51,60,0,0,1,1,0,0,0,0
0,3,21,1,0,1,1,0,0,1,1
0,13,85,0,0,1,0,1,0,0,1
0,2,20,1,1,1,1,1,0,0,0
0,16,75,1,0,1,0,0,1,0,0
0,17,45,1,1,1,0,0,1,0,0
0,14,45,1,0,1,0,0,1,0,0
0,62,108,1,1,1,0,0,0,0,0
0,10,60,1,0,1,0,0,1,0,0
0,58,61,0,0,1,0,0,0,0,0
0,46,79,0,0,1,0,0,1,0,0
1,34,56,0,0,0,1,0,0,1,0
0,13,20,0,0,1,0,0,1,0,0
1,10,35,1,1,0,0,0,1,0,0
0,41,70,1,1,1,0,0,0,1,0
0,32,19,0,0,1,0,0,0,0,0
0,2,100,1,0,1,1,1,0,0,0
0,49,75,1,1,1,0,0,0,1,1
0,37,100,0,0,1,1,0,0,1,0
0,21,62,1,0,1,0,0,0,0,0
1,1,43,1,0,0,0,0,0,0,1
0,69,104,1,0,1,0,0,0,0,1
0,1,85,1,0,1,0,0,0,1,1
1,3,91,1,0,1,0,0,1,0,1
0,45,74,1,1,1,1,1,0,0,0
0,4,61,1,1,1,0,0,0,1,1
1,70,44,1,0,0,0,1,0,0,0
0,72,113,1,1,1,0,1,0,0,0
0,1,24,1,0,0,0,1,0,0,1
1,16,70,1,0,1,1,1,0,0,0
0,33,61,0,0,1,0,0,0,0,0
1,1,50,1,1,1,0,0,0,0,1
0,16,20,0,1,1,0,1,0,1,0
0,50,96,0,0,1,0,0,1,0,0
1,70,105,1,0,1,0,0,0,0,0
0,39,25,1,1,0,0,1,1,0,0
0,45,101,1,0,1,0,0,0,1,1
0,72,116,1,0,1,1,0,0,1,0
0,3,35,1,0,0,1,1,0,0,0
0,42,84,0,0,1,0,0,0,1,0
1,21,69,1,0,1,0,0,0,1,1
0,56,107,1,0,1,1,0,0,1,0
0,9,95,1,0,1,0,0,0,1,1
0,35,56,0,1,1,0,0,0,0,0
0,14,76,1,1,1,0,0,0,0,0
0,66,104,1,0,1,1,0,0,1,1
0,1,87,1,0,1,1,0,1,0,1
0,4,20,1,0,1,0,1,0,0,0
1,66,107,1,0,1,0,0,0,0,0
0,5,20,0,0,1,1,0,0,0,0
0,22,100,1,1,1,1,0,1,0,0
0,41,20,0,0,1,0,0,0,1,0
0,31,89,1,1,1,1,1,1,0,0
0,32,86,0,1,1,0,0,0,1,0
0,59,100,0,0,1,1,1,1,0,0
0,32,104,0,0,1,0,0,0,0,0
0,59,99,0,0,1,0,0,0,1,0
0,67,69,1,1,1,0,0,1,0,0
1,72,103,1,0,1,0,0,1,0,0
0,5,70,1,0,1,0,1,0,0,1
0,16,55,1,0,1,0,1,0,1,0
1,71,115,1,0,1,0,1,1,0,0
0,8,75,1,0,1,1,1,1,0,0
0,9,83,0,0,1,1,1,0,0,1
0,20,76,0,1,1,1,0,0,0,0
0,70,111,0,0,1,1,0,0,1,0
0,1,45,1,0,1,0,0,0,0,1
0,2,44,1,0,1,1,1,0,0,1
0,15,46,0,0,0,1,1,0,0,0
1,35,99,0,0,1,0,0,0,0,0
0,64,104,0,1,1,0,0,1,0,0
0,2,19,0,0,1,0,0,0,0,0
0,32,96,1,0,1,0,0,0,1,1
0,22,55,0,0,1,0,1,0,0,0
0,64,84,1,0,1,0,0,0,1,0
0,72,112,1,1,1,0,0,0,0,0
0,52,20,0,1,1,0,0,0,1,0
1,59,64,1,0,0,1,0,0,0,0
0,24,51,1,0,0,1,0,0,1,0
0,20,89,0,0,1,0,0,0,0,0
0,29,90,1,0,1,0,0,0,1,0
0,51,94,0,0,1,1,1,0,0,0
0,15,49,0,0,1,0,0,0,0,0
0,31,79,1,1,1,0,0,0,1,1
0,68,112,0,1,1,0,1,0,0,0
0,70,65,0,0,1,1,1,0,0,1
1,33,25,1,0,1,0,1,0,0,0
1,15,74,1,0,1,0,0,0,1,1
0,50,35,1,0,0,0,0,0,1,0
0,5,44,0,0,1,1,0,0,0,0
0,7,63,0,0,1,0,1,0,0,0
0,3,76,0,0,1,0,1,0,0,0
0,68,83,1,1,1,0,1,1,0,0
0,64,50,0,1,0,0,0,0,0,0
0,12,34,0,0,0,0,0,0,0,0
0,32,35,0,1,0,1,1,1,0,0
1,12,73,1,0,1,0,0,0,0,0
0,35,62,0,0,1,1,1,0,1,0
0,31,101,1,0,1,0,1,0,0,0
0,5,94,0,0,1,0,0,0,0,1
0,59,20,1,1,1,0,0,0,0,0
0,1,70,1,1,1,1,1,0,1,1
1,60,75,0,1,1,0,0,0,0,0
0,22,57,1,0,0,1,1,0,1,0
0,19,49,0,1,1,1,1,0,0,0
0,65,75,1,1,1,0,0,1,0,1
0,41,70,0,0,1,1,0,0,0,1
0,24,85,1,1,1,1,1,0,0,0
0,30,68,1,1,1,1,0,1,0,0
0,46,94,1,0,1,1,1,1,0,1
1,58,98,0,0,1,0,0,1,0,0
0,22,89,1,1,1,0,1,0,0,1
0,7,55,1,0,1,1,0,0,1,0
1,11,20,1,0,1,0,0,0,1,1
0,3,74,1,0,1,1,1,0,0,0
0,72,104,1,0,1,1,0,0,0,0
1,71,20,1,1,1,0,0,1,0,0
0,4,60,0,0,1,1,0,0,0,1
0,1,20,0,0,1,0,0,1,0,0
0,23,50,0,0,1,1,1,0,1,0
0,54,100,0,0,1,0,0,0,0,1
0,53,19,0,0,1,0,0,0,1,0
0,21,104,1,0,1,1,0,1,0,0
0,72,98,0,0,1,1,1,0,0,0
0,57,21,1,0,1,0,0,0,0,0
0,49,67,0,0,1,0,0,0,0,0
0,53,107,0,0,1,0,0,0,1,1
1,8,87,0,0,1,0,0,0,1,0
0,26,45,1,0,0,0,0,0,1,0
0,22,79,0,0,1,0,0,0,0,1
0,71,25,0,0,1,1,0,1,0,0
0,21,21,0,0,1,0,0,0,1,0
0,48,103,0,1,1,1,1,0,0,1
0,1,25,0,0,0,0,1,0,1,0
0,53,99,0,0,1,1,1,0,0,0
0,2,54,0,0,1,1,1,0,0,0
0,35,61,1,0,1,1,1,0,1,0
0,9,103,1,1,1,0,0,1,0,0
0,51,30,1,0,0,1,1,0,1,0
0,64,105,0,0,1,0,0,0,1,0
1,71,108,1,0,1,1,1,0,0,0
0,12,20,1,0,1,1,1,0,0,0
0,1,70,0,0,1,0,0,0,0,1
0,28,75,1,1,1,0,1,0,0,1
0,55,84,0,0,1,1,1,0,0,0
0,18,90,0,0,1,0,0,0,1,1
0,65,25,1,0,1,0,0,0,0,0
0,1,21,0,1,1,0,0,0,0,1
0,49,19,0,1,1,1,0,0,0,0
1,1,75,1,0,1,0,0,0,1,0
0,48,82,0,1,1,1,0,0,1,1
0,23,74,0,0,1,1,1,1,0,0
0,3,20,1,1,1,1,1,0,1,0
0,1,85,0,0,1,0,1,1,0,0
0,21,46,1,1,1,1,0,1,0,0
0,2,45,0,0,1,0,1,0,0,0
1,4,95,0,0,1,1,0,0,0,1
0,1,19,0,1,1,0,0,0,0,0
0,10,21,0,0,1,0,0,1,0,0
0,66,106,1,0,1,0,1,0,0,1
1,13,97,0,0,1,0,0,0,1,0
0,17,67,1,1,1,1,1,0,0,0
0,56,105,0,0,1,0,1,0,0,0
0,15,69,0,1,1,0,0,0,0,1
0,23,76,0,0,1,0,0,0,0,1
0,48,97,0,0,1,0,1,0,0,0
0,72,68,1,0,1,1,1,0,1,0
0,1,71,0,0,1,0,0,1,0,0
0,64,115,0,0,1,1,0,1,0,0
0,71,24,0,0,1,1,1,1,0,0
0,72,19,0,0,1,0,0,0,0,0
0,44,62,1,1,1,1,1,0,0,0
0,34,26,1,0,1,1,0,0,1,0
0,1,80,0,0,1,1,0,0,1,1
0,69,26,0,0,1,1,1,0,0,0
0,31,90,0,0,1,1,1,0,0,1
0,10,91,0,1,1,1,0,0,1,0
0,34,101,1,0,1,0,0,1,0,0
1,29,45,0,0,0,1,1,0,0,0
0,66,89,0,0,1,1,1,0,0,0
0,4,45,1,1,1,0,0,1,0,0
0,59,24,0,0,1,1,1,0,0,0
0,38,68,0,0,1,0,0,0,0,0
0,40,19,0,0,1,0,0,0,0,0
0,36,80,0,0,1,1,1,1,0,0
0,70,90,0,0,1,0,1,1,0,0
1,14,96,0,1,1,1,1,1,0,0
0,24,50,1,0,1,1,1,0,1,0
0,52,80,0,0,1,0,1,0,0,0
0,61,24,0,1,1,1,1,0,0,0
0,14,51,0,0,1,1,0,0,1,0
0,72,105,1,0,1,1,1,0,0,0
0,10,61,0,0,1,0,1,0,0,0
0,1,20,1,0,1,0,0,0,1,1
0,4,30,1,0,0,1,0,0,1,1
0,30,51,0,1,0,1,1,0,0,1
0,7,59,1,1,0,0,0,0,0,0
1,52,49,1,0,0,0,1,0,0,0
0,14,51,1,0,0,1,1,0,0,1
0,31,79,1,0,1,0,1,0,0,0
0,67,89,1,0,1,0,1,1,0,0
0,50,94,1,0,1,0,0,0,0,0
0,3,75,0,0,1,1,1,0,0,0
0,18,26,1,1,0,0,1,0,0,0
0,1,76,1,0,1,1,1,0,0,1
0,2,20,0,0,1,1,1,0,0,0
0,50,35,1,0,0,0,1,0,0,0
0,55,104,0,0,1,0,1,0,0,0
0,72,101,1,0,1,1,0,0,1,0
0,43,49,0,0,0,1,1,0,0,1
0,46,94,0,0,1,0,1,0,0,0
0,30,19,0,1,1,0,0,1,0,0
0,45,25,0,1,1,0,0,0,0,0
0,6,80,1,0,1,1,1,0,0,1
0,70,90,1,1,1,0,1,0,0,0
0,4,90,0,1,1,0,1,0,0,1
1,50,25,0,0,1,0,0,0,1,0
1,30,78,1,0,1,0,0,0,1,0
0,46,20,1,0,1,0,0,0,1,0
0,2,95,0,0,1,1,1,0,0,1
0,42,45,1,1,0,0,0,0,0,0
0,2,104,0,0,1,1,0,1,0,1
0,4,87,0,1,1,1,0,0,1,1
0,69,20,0,1,1,0,0,0,1,0
0,23,84,0,1,1,0,0,0,1,0
0,3,35,0,0,0,1,0,0,1,1
0,58,60,0,0,1,0,0,0,1,0
0,67,110,0,0,1,0,0,1,0,0
0,50,20,0,1,1,0,0,0,1,0
0,1,51,1,0,1,1,0,0,1,1
0,72,25,1,0,1,0,0,0,0,0
0,7,95,1,0,1,0,0,0,0,1
0,72,67,0,1,1,1,1,0,0,0
1,6,84,1,0,1,0,0,0,1,1
0,4,79,0,0,1,0,0,0,0,1
1,21,72,0,0,1,1,1,0,0,0
0,9,24,1,0,0,1,1,0,1,1
1,36,91,1,0,1,0,1,0,0,1
0,14,59,0,1,1,0,0,0,0,0
0,17,20,0,0,1,1,0,0,0,0
0,53,110,0,0,1,1,1,0,0,0
0,9,20,1,1,1,1,1,1,0,0
0,21,104,1,1,1,0,0,0,1,1
0,68,88,0,0,1,0,0,1,0,0
1,21,42,0,0,0,1,0,0,0,1
0,38,92,1,0,1,0,0,1,0,0
1,50,70,1,0,1,1,1,0,0,0
1,40,104,0,0,1,1,1,0,0,0
0,1,36,1,0,0,1,1,1,0,1
0,62,39,1,0,0,0,0,1,0,0
0,17,20,1,0,1,0,0,0,0,0
0,22,21,0,1,1,1,0,0,1,0
0,53,94,1,0,1,0,0,1,0,1
0,15,56,0,0,1,0,1,0,0,0
0,7,21,1,1,1,0,1,0,0,0
0,9,69,1,0,1,1,1,0,1,0
0,8,49,0,0,1,0,0,0,1,0
0,7,69,1,0,1,1,0,1,0,1
0,15,100,0,0,1,0,0,0,0,0
1,20,95,1,0,1,1,0,1,0,1
0,35,85,0,0,1,0,0,0,1,1
0,72,49,1,1,0,1,1,0,0,0
1,11,60,1,0,1,0,1,1,0,0
1,26,85,0,0,1,1,0,0,1,1
0,64,81,0,0,1,1,1,0,0,0
0,3,69,1,0,1,1,1,0,0,1
0,21,20,1,0,1,0,1,0,0,0
0,72,24,0,1,1,1,1,0,0,0
1,42,79,1,0,1,0,0,0,0,0
0,72,25,0,0,1,0,0,0,0,0
0,1,20,1,0,1,0,1,0,0,0
0,1,20,0,0,1,0,0,0,1,0
0,56,103,0,0,1,0,0,0,0,0
0,66,60,0,1,1,0,1,0,0,0
1,66,111,1,0,1,1,1,0,0,1
0,53,20,1,0,1,0,0,1,0,0
0,7,20,0,0,1,0,0,0,0,1
1,3,76,1,0,1,0,0,0,1,1
0,9,44,0,0,1,1,0,1,0,1
0,49,50,1,0,0,0,0,0,0,0
0,17,62,1,1,1,0,0,0,1,0
0,2,80,0,0,1,1,0,0,0,1
0,1,71,1,0,1,1,1,0,1,0
0,68,54,0,0,1,0,1,0,0,0
0,72,100,0,1,1,1,1,0,0,0
0,11,80,1,0,1,1,1,0,0,1
0,56,86,0,0,1,0,1,0,0,0
0,22,105,1,0,1,0,0,0,0,0
0,7,79,0,0,1,1,1,0,0,0
0,1,55,0,0,1,0,0,0,0,1
0,1,75,1,0,1,0,0,1,0,0
0,72,116,0,1,1,1,1,0,0,0
0,62,91,1,0,1,0,0,0,0,0
0,68,84,0,1,1,1,1,0,0,0
0,62,20,1,0,1,0,0,0,0,0
0,72,110,0,0,1,1,1,0,0,0
0,21,100,0,0,1,0,0,0,0,0
1,36,85,1,0,1,1,1,0,0,1
0,71,77,1,1,1,1,0,0,1,0
0,61,89,0,0,1,1,1,0,1,0
0,9,88,1,0,1,0,0,0,0,0
0,66,69,1,0,1,1,1,1,0,0
0,8,19,1,1,1,0,1,0,0,0
0,28,92,0,0,1,0,0,0,0,1
0,22,51,0,0,0,1,1,0,1,0
0,22,39,0,1,0,0,1,0,0,0
0,29,31,0,0,0,0,0,0,0,0
0,7,20,0,0,1,1,1,1,0,1
0,42,25,1,0,0,1,0,0,1,0
0,45,26,0,0,1,0,0,0,0,0
1,48,59,0,0,1,1,0,0,1,0
0,37,80,0,0,1,1,0,1,0,0
1,11,83,0,0,1,0,0,0,0,0
0,69,93,0,1,1,1,1,1,0,0
0,35,24,0,1,1,1,1,0,0,0
1,66,81,0,0,1,1,0,1,0,1
1,22,20,0,0,1,0,0,1,0,0
0,24,90,1,0,1,1,1,0,0,0
0,68,24,1,0,1,0,0,0,0,0
0,18,20,1,1,1,0,0,1,0,0
0,1,69,0,0,1,1,0,0,1,1
1,56,105,0,0,1,0,1,0,0,1
0,22,20,1,0,1,0,0,1,0,0
0,4,19,1,0,1,1,1,0,1,0
0,13,35,0,0,0,1,1,0,0,0
0,37,68,0,0,1,1,0,0,0,0
1,69,20,1,0,1,0,0,0,0,0
0,11,20,0,1,1,0,0,0,0,0
0,41,103,1,1,1,1,1,0,0,1
0,0,81,0,1,1,1,1,0,0,0
0,4,29,0,0,0,1,1,0,0,0
0,58,21,1,0,1,0,1,0,1,0
0,8,65,0,0,1,1,0,0,0,0
0,19,78,1,0,1,0,0,0,0,1
1,21,60,1,0,1,0,0,0,0,1
0,13,80,0,0,1,1,1,0,0,0
0,24,90,0,0,1,0,0,1,0,0
0,12,80,0,0,1,0,1,0,0,0
0,14,82,1,0,1,0,0,0,0,0
0,60,94,0,0,1,0,0,0,0,0
1,66,100,1,0,1,1,0,0,1,1
0,17,90,1,0,1,0,0,1,0,1
0,32,88,1,0,1,0,0,0,0,0
0,1,70,0,0,1,1,0,1,0,1
0,68,86,1,1,1,0,1,0,0,0
0,1,20,0,1,1,0,0,1,0,0
0,48,46,0,1,0,0,1,0,0,0
0,44,49,0,0,0,0,0,0,0,0
0,15,25,0,0,1,0,0,0,0,1
0,18,61,0,0,1,1,1,0,0,0
0,11,80,1,1,1,1,0,0,1,1
0,72,66,1,0,0,0,0,1,0,0
0,65,108,0,0,1,1,1,0,0,0
0,11,100,0,0,1,0,1,0,1,1
0,37,65,0,0,1,1,0,0,0,0
0,54,97,0,0,1,1,1,0,0,0
1,12,44,1,0,0,1,0,0,1,1
0,21,20,1,0,1,1,1,0,0,0
0,6,25,1,1,1,0,0,0,1,0
0,5,89,0,0,1,1,0,0,1,1
0,28,61,1,0,1,0,0,0,0,0
0,2,70,0,0,1,0,0,0,0,1
1,37,76,0,0,1,0,0,1,0,1
0,65,71,0,0,1,1,0,0,0,0
0,16,65,0,0,1,0,1,0,0,1
1,27,71,1,0,1,1,1,0,0,0
0,8,45,1,0,1,0,0,1,0,1
0,65,26,0,1,1,0,0,1,0,0
0,62,81,1,1,1,0,0,0,1,0
0,2,91,1,0,1,1,1,0,0,0
0,12,26,1,1,1,1,1,0,0,0
0,47,54,1,1,1,0,0,0,0,0
0,4,30,1,0,0,1,0,1,0,0
0,39,90,0,1,1,0,0,0,0,1
0,66,26,1,1,1,0,0,0,1,0
0,20,20,1,0,1,0,0,0,1,0
0,6,49,0,1,1,0,0,0,0,0
0,25,20,1,0,1,0,0,0,1,0
