gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges,churn
female,0,no,1,yes,no,dsl,two year,70,yes
female,0,no,2,yes,yes,fiber optic,one year,70,no
female,0,no,12,yes,no,fiber optic,month-to-month,79,yes
male,0,yes,31,yes,yes,dsl,one year,98,no
male,0,yes,35,yes,no,dsl,month-to-month,72,no
male,1,no,72,yes,yes,fiber optic,month-to-month,110,no
female,0,yes,8,yes,yes,dsl,two year,94,yes
male,0,no,10,yes,yes,fiber optic,one year,98,yes
female,1,no,5,yes,no,fiber optic,one year,69,yes
male,0,yes,63,yes,no,dsl,month-to-month,84,no
female,0,no,71,yes,no,dsl,two year,26,no
female,1,no,46,yes,yes,fiber optic,month-to-month,104,no
female,0,yes,52,yes,yes,fiber optic,two year,23,no
male,0,no,1,yes,no,dsl,month-to-month,46,yes
male,0,no,1,yes,yes,fiber optic,month-to-month,80,yes
female,0,no,72,yes,no,dsl,one year,113,no
female,0,no,3,yes,yes,fiber optic,month-to-month,84,yes
male,0,no,28,yes,no,dsl,month-to-month,61,no
female,0,yes,39,yes,yes,fiber optic,month-to-month,51,no
female,0,no,33,yes,yes,dsl,month-to-month,26,no
female,0,no,12,no,no,dsl,month-to-month,61,no
male,0,yes,1,yes,no,dsl,month-to-month,74,yes
male,0,no,6,yes,yes,fiber optic,month-to-month,79,no
male,0,no,3,yes,yes,dsl,two year,86,no
male,0,no,4,yes,yes,fiber optic,month-to-month,88,yes
male,0,yes,34,yes,no,fiber optic,month-to-month,90,no
male,0,no,1,yes,no,dsl,month-to-month,20,no
female,1,no,15,yes,no,dsl,one year,96,yes
male,0,yes,1,no,no,dsl,one year,25,yes
female,0,no,3,yes,no,dsl,one year,51,yes
male,0,no,1,yes,yes,fiber optic,month-to-month,20,yes
female,0,no,3,yes,no,dsl,one year,20,no
female,0,yes,30,yes,no,dsl,two year,81,no
female,0,no,5,yes,no,dsl,two year,54,yes
male,1,no,68,yes,yes,fiber optic,one year,20,no
female,0,no,1,yes,no,fiber optic,month-to-month,20,no
female,0,no,5,yes,no,dsl,month-to-month,80,yes
female,0,no,1,yes,no,dsl,month-to-month,71,yes
male,0,yes,13,yes,yes,fiber optic,month-to-month,20,no
female,0,no,35,yes,yes,dsl,one year,80,no
male,0,yes,4,yes,yes,fiber optic,month-to-month,70,no
male,0,no,9,no,yes,fiber optic,month-to-month,25,no
female,1,no,45,yes,no,fiber optic,month-to-month,86,no
female,0,no,21,no,no,fiber optic,month-to-month,28,no
female,0,no,26,yes,yes,fiber optic,two year,89,yes
female,0,no,1,yes,yes,dsl,two year,85,yes
female,1,no,2,yes,no,fiber optic,month-to-month,89,yes
female,0,no,11,yes,no,fiber optic,month-to-month,70,no
female,0,no,59,yes,yes,dsl,month-to-month,109,no
female,0,no,31,yes,no,fiber optic,month-to-month,84,no
female,0,yes,54,yes,yes,fiber optic,one year,25,no
female,0,yes,16,yes,yes,dsl,one year,19,no
male,1,no,9,yes,no,dsl,month-to-month,55,yes
female,0,no,21,yes,yes,dsl,month-to-month,97,yes
male,0,no,1,yes,yes,fiber optic,one year,21,no
female,0,no,23,yes,yes,fiber optic,month-to-month,54,no
male,1,no,7,yes,yes,fiber optic,month-to-month,74,yes
male,0,no,21,yes,yes,dsl,one year,104,no
female,0,no,65,yes,no,dsl,month-to-month,108,no
male,0,no,4,no,no,dsl,two year,45,yes
male,0,yes,72,yes,no,dsl,month-to-month,112,no
male,1,no,68,no,no,dsl,month-to-month,42,no
female,0,yes,67,yes,no,dsl,two year,85,no
male,0,no,1,yes,no,dsl,month-to-month,79,yes
female,0,no,69,yes,no,dsl,one year,96,no
male,0,no,60,yes,yes,fiber optic,two year,90,no
male,0,no,3,yes,yes,fiber optic,month-to-month,88,yes
male,0,yes,63,no,no,dsl,month-to-month,59,no
male,0,yes,71,yes,yes,fiber optic,month-to-month,91,no
female,0,no,35,yes,yes,fiber optic,month-to-month,86,yes
female,0,no,34,yes,yes,fiber optic,one year,70,yes
male,0,yes,53,yes,yes,dsl,month-to-month,70,no
male,0,no,17,no,no,fiber optic,month-to-month,34,no
female,0,yes,1,yes,yes,fiber optic,month-to-month,60,yes
male,0,no,56,yes,no,fiber optic,month-to-month,81,no
male,0,yes,7,yes,yes,dsl,two year,50,yes
male,0,no,67,yes,no,fiber optic,month-to-month,111,no
male,0,no,11,yes,no,fiber optic,two year,61,no
male,0,yes,1,yes,yes,dsl,one year,20,no
male,0,no,2,yes,no,dsl,month-to-month,25,no
female,0,no,69,yes,no,dsl,month-to-month,105,no
male,0,no,1,yes,no,fiber optic,month-to-month,80,yes
female,0,no,21,yes,yes,dsl,two year,90,no
male,1,no,72,yes,yes,fiber optic,month-to-month,97,no
female,1,no,2,yes,no,fiber optic,one year,84,no
male,0,no,57,yes,no,dsl,two year,21,no
male,0,no,1,yes,no,dsl,month-to-month,90,yes
male,0,no,4,yes,yes,fiber optic,month-to-month,81,yes
female,0,no,2,yes,no,dsl,month-to-month,19,no
female,0,no,9,yes,no,dsl,month-to-month,77,no
female,0,no,71,yes,yes,fiber optic,month-to-month,111,no
female,0,yes,13,yes,yes,fiber optic,month-to-month,19,no
male,0,yes,50,yes,yes,fiber optic,two year,45,no
male,1,no,10,yes,no,dsl,two year,90,yes
male,1,no,64,yes,yes,fiber optic,two year,94,no
female,0,yes,1,yes,yes,fiber optic,one year,70,yes
male,0,no,2,no,no,dsl,two year,25,no
female,0,no,30,yes,no,dsl,month-to-month,110,no
male,0,no,7,yes,no,dsl,one year,90,yes
male,0,no,26,yes,no,dsl,month-to-month,19,no
male,0,no,20,yes,no,dsl,month-to-month,50,no
female,0,no,72,yes,no,dsl,month-to-month,26,no
female,0,yes,13,yes,no,fiber optic,month-to-month,56,yes
male,0,no,70,yes,yes,fiber optic,month-to-month,85,no
male,0,no,3,no,no,dsl,month-to-month,30,no
male,0,no,2,yes,no,dsl,month-to-month,76,yes
female,1,no,72,yes,no,fiber optic,month-to-month,116,no
male,1,no,33,yes,no,fiber optic,month-to-month,84,yes
male,1,no,15,yes,no,dsl,two year,74,yes
male,0,no,1,no,no,dsl,month-to-month,29,no
male,1,no,55,yes,no,fiber optic,month-to-month,99,yes
male,0,yes,5,yes,yes,fiber optic,one year,64,no
male,0,no,3,yes,no,fiber optic,month-to-month,80,yes
female,0,no,65,yes,yes,fiber optic,two year,90,no
male,0,yes,39,yes,yes,fiber optic,month-to-month,60,no
male,0,no,70,yes,yes,dsl,two year,25,no
male,0,no,34,yes,no,dsl,two year,116,no
male,0,no,30,yes,yes,fiber optic,month-to-month,50,no
female,0,no,12,no,yes,fiber optic,two year,50,no
male,0,yes,9,yes,no,dsl,month-to-month,20,no
female,0,no,49,no,no,fiber optic,month-to-month,56,no
female,0,no,7,yes,yes,dsl,one year,44,no
female,1,no,38,yes,no,dsl,month-to-month,83,no
male,0,no,63,yes,no,dsl,one year,109,no
male,1,no,1,yes,no,dsl,month-to-month,72,yes
male,0,no,30,yes,no,dsl,two year,90,no
female,0,no,23,yes,no,dsl,month-to-month,74,no
female,0,no,57,yes,yes,fiber optic,month-to-month,70,no
female,1,no,70,yes,yes,fiber optic,one year,76,no
male,0,yes,71,yes,yes,fiber optic,two year,107,no
male,0,yes,20,yes,yes,dsl,one year,50,no
female,0,yes,72,yes,no,fiber optic,month-to-month,25,no
male,0,no,22,yes,yes,dsl,two year,70,no
